article_id,user_id,article_type,title,stressor_name,broad_stressor_name,specific_stressor_metric,response,srf_formula,species_common_name,latin_name,life_stages,activity,season,location_country,location_state_province,location_watershed_lab,location_river_creek,overview,function_derivation,transferability_of_function,conf_source,conf_shape,conf_variance,conf_applicability,conf_interactions,source_of_stressor_data,citations
52,9,Literature review,Honea et al. 2009: Temperature and Chinook Spawner Survival,Temperature,Temperature,Mean of Daily Maximum Temperatures (Aug-Sept),Survival,,{Chinook Salmon},{Oncorhynchus tshawytscha},{Adult},{Spawning},{Spring},{USA},"{""Idaho"",""Washington""}",{Columbia River Basin},"{""NULL""}","Function applied in Honea et al., (2009) for hatchery spring-run Chinook salmon survival. Spawner stage: Survivorship of spring-run Chinook spawners and water temperature (from reviews by McCullough, 1999; and Richter & Kolmes, 2005). The function is based on Cramer's (2001) observations of reduced survivorship of hatchery fish.

Surv = 1 if Tpre < 16C
Surv = (5.43-0.28*Tpre) if 16 ≤ Tpre < 19
Surv = 0.01 if TPre ≥ 19

Where Tpre is the mean of daily maximum temperature (C) August‚September.

Scheuerell et al. (2006) developed a separate function for wild spring-run Chinook survival (see report for details).",{Expert Opinion},,,,,,,,"[{""title"":""Honea et al. 2009"",""url"":""https://doi.org/10.1111/j.1365-2427.2009.02208.x"",""text"":""Honea, J. M. , Jorgensen, J. C. , McClure, M. M. , Cooney, T. D. , Engie, K. , Holzer, D. M. , & Hilborn, R. (2009). Evaluating habitat effects on population status: influence of habitat restoration on spring-run Chinook salmon. Freshwater Biology, 54(7), 1576-1592.""},{""title"":""Cramer 2001"",""url"":""https://www.researchgate.net/publication/268284627_The_Relationship_of_Stream_Habitat_Features_to_Potential_for_Production_of_Four_Salmonid_Species"",""text"":""Cramer, S. P. (2001). The relationship of stream habitat features to potential for production of four salmonid species. SP Cramer and Associates, Gresham, Oregon.""}]"
53,9,Expert elicitation,Feist et al. 2011: Impervious Area and Coho Salmon Spawner Survival,Area,Habitat Availability,Impervious Area,Survival,,{Coho Salmon},{Oncorhynchus kisutch},{Adult},{Prespawn},"{""NULL""}",{USA},{Washington},{Puget Sound},"{""NULL""}","The graph shows Coho salmon prespawn survivorship in each year at each site from Table 1 in Feist et al. 2011 plotted against percent impervious area. Blue line indicates the model function for prespawn survivorship.

The original graph from Beechie et al shows pre-spawn mortality, this graph was invested to show prespawn survivorship instead.

Prespawn mortality in coho salmon is correlated with a number of metrics indicating level of development (e.g., road density, percent impervious area) (Feist et al. 2011, 2017). The most straightforward function appears to be a linear relationship between prespawn mortality and percent impervious area (Figure 2a in Feist et al. 2011).

We plotted the pre-spawn survival in individual years for each site. The data are fitted well with a function of:

Percent impervious area ≤66.67%: Prespawn mortality = (0.015) x (% imp. area)
Percent impervious area >66.67%: Prespawn mortality = 1.0.",{Expert Opinion},,,,,,,,"[{""title"":""Beechie et al. 2021"",""url"":""https://repository.library.noaa.gov/view/noaa/29486"",""text"":""Beechie T.‚ J., C.‚ Nicol, C.‚ Fogel, J.‚ Jorgensen, J.‚ Thompson, G.‚ Seixas, J.‚ Chamberlin, J.‚ Hall, B.‚ Timpane-Padgham, P.‚ Kiffney, S.‚ Kubo, and J.‚Keaton. 2021. Modeling Effects of Habitat Change and Restoration Alternatives on Salmon in the Chehalis River Basin Using a Salmonid Life-Cycle Model. U.S. Department of Commerce, NOAA Contract Report NMFS-NWFSC-CR-2021-01.""},{""title"":""Feist et al. 2011"",""url"":""https://doi.org/10.1371/journal.pone.0023424"",""text"":""Feist, B. E., Buhle, E. R., Arnold, P., Davis, J. W., & Scholz, N. L. 2011. Landscape Ecotoxicology of Coho salmon spawner mortality in urban streams. PLoS ONE, 6(8), e23424.""}]"
54,5,Meta-analysis,Jager 2011: Temperature and Chinook Fry Survival,Temperature,Temperature,Incubation Temperature,Survival,,{Chinook Salmon},{Oncorhynchus tshawytscha},{Fry},{Emergence},"{""Winter"",""Spring""}",{USA},{PNW},{Salmon-Cultural Laboratory},"{""NULL""}","Directly quoted from Bratovich et al 2020:

Jager (2011) reviewed and compiled mortality and exposure duration data from constant temperature laboratory studies for Chinook salmon eggs (fertilization to hatching) and alevins (hatching to emergence). For each study, Jager (2011) standardized the survival data by dividing by the maximum survival over all temperature treatments for each study. If the study did not report the duration of the two lifestages, a temperature relationship was fitted to the lifestage to estimate duration. Studies incorporated for the fertilized egg relationship included Murray and McPhail (1988),Combs and Burrows (1957), Garling and Masterson (1985), Beacham and Murray (1989), Jensenand Groot (1991), and Heming (1982). Due to lack of duration data, exposure durations wereestimated for fertilized eggs for the Combs and Burrows (1957) data. Studies used in the alevinrelationship included Murray and McPhail (1988), Garling and Masterson (1985), Beacham andMurray (1989), and Jensen and Groot (1991). Due to a reported lack of lifestage duration data,durations were estimated for alevins for the Garling and Masterson (1985) and Jensen and Groot (1991) data. For studies where replicate treatments were conducted, survival rates from thereplicates were averaged (using a weighted average based on starting number of eggs or alevin)together for each water temperature treatment. 
Based on these data, Jager (2011) developed a model relating daily survival of Chinook salmonfertilized eggs and alevins to water temperature using a double Weibull model (Figure 6). The right-hand side of the function for eggs (i.e., at 0% daily survival) is driven by two data pointsfrom Jensen and Groot (1991). These two data points were excluded from the Water Forumfertilized egg function development (this TM) because mortality reached 100% prior to 50% hatch,and duration to mortality was not reported. In addition, although mortality reached 100% prior to 50% hatch, it is unlikely that the daily survival rate was actually 0%, particularly for the 64.4°F treatment. Although the equation to calculate daily survival based on cumulative survival andduration will result in a 0% daily survival rate, results from other laboratory studies (Seymour 1956 and USFWS 1999) that exposed fertilized eggs to water temperatures of 64-64.6°F indicate that daily mortality rates ranged from 2.8% to 15%. In addition, short-term thermal exposure (“heat shock”) experiments found that mortality rates of Chinook salmon cleavage egg and embryo lifestages exposed to 22°C (71.6°F) for 8 hours were 10% and 3%, respectively (Neitzel and Becker 1985). Similar to the fertilized egg function, the right-hand side of the pre-emergent fry (“alevin”) function is driven by only one data point, also from Jensen and Groot (1991), for the 61.5°F treatment. This data point also was excluded from the Water Forum alevin function (this TM) due to concern over the inconsistency in the duration from 50% hatch to emergence for this temperature treatment relative to other treatments. Although Jager (2011) calculated the exposure duration based on water temperature, it is unlikely that, despite the cumulative survival of 0%, that the daily survival rate was 0% (i.e., all alevins perished in one day) at 61.5°F, in consideration of the other water temperature studies. For example, daily alevin mortality rates of Sacramento River fall-run and winter-run Chinook salmon associated with exposure to 62°F across 8 replicates ranged from 2.4% to 20.6% (USFWS 1999)...""",{Manual},Very limited. Especially on the cold (right-hand side).,,,,,,Lab studies,"[{""title"":""Bratovich et al. 2020"",""url"":""https://www.waterforum.org/wp-content/uploads/2020/09/Water-Forum-Water-Temp-Embryo-Survival-TM-9-23-20.pdf"",""text"":""Bratovich, P., M. Neal, A. Ransom, P. Bedore, and M. Bryan. 2020. Chinook Salmon Early Lifestage Survival & Folsom Dam Power Bypass Considerations. Prepared for the Sacramento Water Forum. September 2020. Combs, B.D. and R.E. Burrows. 1957. Threshold Temperatures for the Normal Development of Chinook Salmon Eggs. The Progressive Fish-Culturist, 19:3-6.""},{""title"":""Jager 2011"",""url"":""https://info.ornl.gov/sites/publications/files/Pub33206.pdf"",""text"":""Jager, H. I. 2011. Quantifying Temperature Effects on Fall Chinook Salmon. ORNL/TM2011/456.""}]"
55,5,Meta-analysis,Jager 2011: Temperature and Chinook Egg Survival,Temperature,Temperature,Incubation Temperature,Survival,,{Chinook Salmon},{Oncorhynchus tshawytscha},{Egg},{Incubation},"{""Winter"",""Spring""}",{USA},{PNW},{Salmon-Cultural Laboratory},"{""NULL""}","Directly quoted from Bratovich et al 2020:

Jager (2011) reviewed and compiled mortality and exposure duration data from constant temperature laboratory studies for Chinook salmon eggs (fertilization to hatching) and alevins (hatching to emergence). For each study, Jager (2011) standardized the survival data by dividing by the maximum survival over all temperature treatments for each study. If the study did not report the duration of the two lifestages, a temperature relationship was fitted to the lifestage to estimate duration. Studies incorporated for the fertilized egg relationship included Murray and McPhail (1988),Combs and Burrows (1957), Garling and Masterson (1985), Beacham and Murray (1989), Jensenand Groot (1991), and Heming (1982). Due to lack of duration data, exposure durations wereestimated for fertilized eggs for the Combs and Burrows (1957) data. Studies used in the alevinrelationship included Murray and McPhail (1988), Garling and Masterson (1985), Beacham andMurray (1989), and Jensen and Groot (1991). Due to a reported lack of lifestage duration data,durations were estimated for alevins for the Garling and Masterson (1985) and Jensen and Groot (1991) data. For studies where replicate treatments were conducted, survival rates from thereplicates were averaged (using a weighted average based on starting number of eggs or alevin)together for each water temperature treatment. 
Based on these data, Jager (2011) developed a model relating daily survival of Chinook salmonfertilized eggs and alevins to water temperature using a double Weibull model (Figure 6). The right-hand side of the function for eggs (i.e., at 0% daily survival) is driven by two data pointsfrom Jensen and Groot (1991). These two data points were excluded from the Water Forumfertilized egg function development (this TM) because mortality reached 100% prior to 50% hatch,and duration to mortality was not reported. In addition, although mortality reached 100% prior to 50% hatch, it is unlikely that the daily survival rate was actually 0%, particularly for the 64.4°F treatment. Although the equation to calculate daily survival based on cumulative survival andduration will result in a 0% daily survival rate, results from other laboratory studies (Seymour 1956 and USFWS 1999) that exposed fertilized eggs to water temperatures of 64-64.6°F indicate that daily mortality rates ranged from 2.8% to 15%. In addition, short-term thermal exposure (“heat shock”) experiments found that mortality rates of Chinook salmon cleavage egg and embryo lifestages exposed to 22°C (71.6°F) for 8 hours were 10% and 3%, respectively (Neitzel and Becker 1985). Similar to the fertilized egg function, the right-hand side of the pre-emergent fry (“alevin”) function is driven by only one data point, also from Jensen and Groot (1991), for the 61.5°F treatment. This data point also was excluded from the Water Forum alevin function (this TM) due to concern over the inconsistency in the duration from 50% hatch to emergence for this temperature treatment relative to other treatments. Although Jager (2011) calculated the exposure duration based on water temperature, it is unlikely that, despite the cumulative survival of 0%, that the daily survival rate was 0% (i.e., all alevins perished in one day) at 61.5°F, in consideration of the other water temperature studies. For example, daily alevin mortality rates of Sacramento River fall-run and winter-run Chinook salmon associated with exposure to 62°F across 8 replicates ranged from 2.4% to 20.6% (USFWS 1999)...""",{Manual},Very limited. Especially on the cold (right-hand side).,,,,,,Lab studies,"[{""title"":""Bratovich et al. 2020"",""url"":""https://www.waterforum.org/wp-content/uploads/2020/09/Water-Forum-Water-Temp-Embryo-Survival-TM-9-23-20.pdf"",""text"":""Bratovich, P., M. Neal, A. Ransom, P. Bedore, and M. Bryan. 2020. Chinook Salmon Early Lifestage Survival & Folsom Dam Power Bypass Considerations. Prepared for the Sacramento Water Forum. September 2020. Combs, B.D. and R.E. Burrows. 1957. Threshold Temperatures for the Normal Development of Chinook Salmon Eggs. The Progressive Fish-Culturist, 19:3-6.""},{""title"":""Jager 2011"",""url"":""https://info.ornl.gov/sites/publications/files/Pub33206.pdf"",""text"":""Jager, H. I. 2011. Quantifying Temperature Effects on Fall Chinook Salmon. ORNL/TM2011/456.""}]"
56,5,Meta-analysis,Jensen et al 2009: Fine Sediment and Incubation Survival,Sedimentation,Sediment,Fine Sediment,Suvivorship,,{Pacific Salmon (generalized)},{Oncorhynchus spp.},{Egg},{Emergence},"{""NULL""}",{USA},{PNW},"{""NULL""}","{""NULL""}","Reach-averaged percentage of fine sediment (<0.85mm) in spawning gravels and modelled density-independent incubation productivity (survival).

Fine sediment data came from a combination of field surveys and estimates from empirical models. Empirical model estimated reach-averaged fine sediment as a function of road density (fine sed = 5.74 + 2.05 * road density, where road density is the surface area coverage of the drainage area, ha roads/ha watershed). This function is unlikely to be transferable to other systems..

Sediment to incubation productivity is derived from source data in Jensen et al. 2009. Synthetic function for sediment is intended to be generalized for all pacific salmon.

Underlying formula is Incubation Productivity = 1 / (1 + e^-(B0 + B1*sed)), where B0 is 1.989 and B1 is -0.185.

See Appendix I.3: Fine Sediment for additional details.

Scaled from original curve so that when fine sediment is zero incubation survivorship is 100% (instead of 88%)

Keywords: Sediment, fines, sedimentation, productivity, survival","{""NULL""}",,,,,,,,"[{""title"":""Beechie et al. 2021"",""url"":""https://repository.library.noaa.gov/view/noaa/29486"",""text"":""Beechie T.‚ J., C.‚ Nicol, C.‚ Fogel, J.‚ Jorgensen, J.‚ Thompson, G.‚ Seixas, J.‚ Chamberlin, J.‚ Hall, B.‚ Timpane-Padgham, P.‚ Kiffney, S.‚ Kubo, and J.‚Keaton. 2021. Modeling Effects of Habitat Change and Restoration Alternatives on Salmon in the Chehalis River Basin Using a Salmonid Life-Cycle Model. U.S. Department of Commerce, NOAA Contract Report NMFS-NWFSC-CR-2021-01.""},{""title"":""Jensen et al. 2009"",""url"":""https://www.tandfonline.com/doi/full/10.1080/10641260902716954"",""text"":""Jensen, D. W. , E. A. Steel, A. H. Fullerton, and G. R. Pess. 2009. Impact of fine sediment on incubation survival of Pacific salmon: a meta-analysis of published studies. Reviews in Fisheries Science 17(3):348-359. ""}]"
57,9,Modeling study,McHugh et al. 2004: Temperature and Chinook Fry Survival,Temperature,Temperature,mean daily temperature,Survival,,{Chinook Salmon (stream type chinook)},{Oncorhynchus tshawytscha},{Fry},{Rearing},"{""NULL""}",{USA},"{""Oregon"",""Idaho""}",{Snake River Basin},"{""Elk Creek"",""Sulphur Creek"",""Minam River"",""Upper Grande Ronde River"",""Big Sheep and Lick Creeks"",""Imnaha River""}","Fry stage: Survivorship through the fry stage to the overwintering stage is influenced by summer water temperatures (see reviews by McCullough, 1999; Richter & Kolmes, 2005). This survivorship function is developed for stream-type chinook by McHugh, Budy & Schaller (2004) based on data from Brett (1952), McCormick, Hokanson & Jones (1972), and Coutant (1973):

Surv = exp{-((Tsum)/(27.0271))^10.74} if Tsum > 17.8
Surv = 1 if Tsum ≤ 17.8

Where Tsum is mean daily temperature (C) August-September.","{""NULL""}",,,,,,,,"[{""title"":""McHugh et al. 2004"",""url"":""https://doi.org/10.1577/T03-097.1"",""text"":""McHugh, P. , Budy, P. , & Schaller, H. (2004). A model-based assessment of the potential response of Snake River spring‚summer Chinook salmon to habitat improvements. Transactions of the American Fisheries Society, 133(3), 622-638.""},{""title"":""Honea et al. 2009"",""url"":""https://doi.org/10.1111/j.1365-2427.2009.02208.x"",""text"":""Honea, J. M. , Jorgensen, J. C. , McClure, M. M. , Cooney, T. D. , Engie, K. , Holzer, D. M. , & Hilborn, R. (2009). Evaluating habitat effects on population status: influence of habitat restoration on spring-run Chinook salmon. Freshwater Biology, 54(7), 1576-1592. ""}]"
58,9,Meta-analysis,Bjornn & Reiser 1991: Oxygen Concentration and Coho Salmon Growth,Dissolved Oxygen,Water Chemistry,Dissolved Oxygen Concentration,Growth,,{Coho Salmon},{Oncorhynchus kisutch},{Fry},{Rearing},"{""NULL""}",{USA},{West Coast},{Pacific drainage watersheds},"{""NULL""}",Food conversion ratio (weight gained by fish/weight of food consumed) for frequently fed age-0 coho salmon in relation to dissolved oxygen concentration. A food conversion ratio of zero (not a negative ratio) has been assigned to each group of fish that lost weight. fitted,"{""NULL""}",,,,,,,,"[{""title"":""Bjornn & Reiser 1991"",""url"":""https://www.for.gov.bc.ca/hfd/LIBRARY/FFIP/Bjornn_TC1991.pdf"",""text"":""Bjornn, T. C., & Reiser, D. W. (1991). Habitat requirements of salmonids in streams. In American Fisheries Society Special Publication (Vol. 19, pp. 83–138).""},{""title"":""Herrmann et al. 1962"",""url"":""https://doi.org/10.1577/1548-8659(1962)91[155:IOOCOT]2.0.CO;2"",""text"":""Herrmann, R. B. , Warren, C. E. , & Doudoroff, P. (1962). Influence of oxygen concentration on the growth of juvenile coho salmon. Transactions of the American Fisheries Society, 91(2), 155-167.""}]"
59,9,Correlative model,PacifiCorp 2002: Depth and Bull Trout Rearing HSI,Depth,Depth,Water depth,Suitability,,{Bull Trout},{Salvelinus confluentus},{Juvenile},{Rearing},"{""NULL""}",{USA},{Washington},{Lewis River Watershed},{Lewis River},Depth units converted from ft to m.,"{""NULL""}",,,,,,,,"[{""title"":""PacifiCorp 2002"",""url"":""https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/hydro/lewis-river/relicensing-documents/AQU_2_Appendix_1_1.pdf"",""text"":""PacifiCorp. 2002. Lewis River Hydroelectric Projects FERC Project Nos. 935, 2071, 2111, 2213. AQU 2 Appendix 1""}]"
60,9,Correlative model,PacifiCorp 2002: Depth and Bull Trout Spawning HSI,Depth,Depth,Water depth,Suitability,,{Bull Trout},{Salvelinus confluentus},{Adult},{Spawning},"{""NULL""}",{USA},{Washington},{Lewis River Watershed},{Lewis River},Depth units converted from ft to m.,"{""NULL""}",,,,,,,,"[{""title"":""PacifiCorp 2002"",""url"":""https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/hydro/lewis-river/relicensing-documents/AQU_2_Appendix_1_1.pdf"",""text"":""PacifiCorp. 2002. Lewis River Hydroelectric Projects FERC Project Nos. 935, 2071, 2111, 2213. AQU 2 Appendix 1""}]"
61,9,Correlative model,PacifiCorp 2002: Depth and Chinook Juvenile HSI,Depth,Depth,Water depth,Suitability,,{Chinook Salmon},{Oncorhynchus tshawytscha},{Juvenile},{Rearing},"{""NULL""}",{USA},{Washington},{Lewis River Watershed},{Lewis River},Depth units converted from ft to m,"{""NULL""}",,,,,,,,"[{""title"":""PacifiCorp 2002"",""url"":""https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/hydro/lewis-river/relicensing-documents/AQU_2_Appendix_1_1.pdf"",""text"":""PacifiCorp. 2002. Lewis River Hydroelectric Projects FERC Project Nos. 935, 2071, 2111, 2213. AQU 2 Appendix 1""}]"
62,9,Correlative model,PacifiCorp 2002: Depth and Chinook Spawning HSI,Depth,Depth,Water depth,Suitability,,{Chinook Salmon},{Oncorhynchus tshawytscha},{Adult},{Spawning},"{""NULL""}",{USA},{Washington},{Lewis River Watershed},{Lewis River},Depth units converted from ft to m,"{""NULL""}",,,,,,,,"[{""title"":""PacifiCorp 2002"",""url"":""https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/hydro/lewis-river/relicensing-documents/AQU_2_Appendix_1_1.pdf"",""text"":""PacifiCorp. 2002. Lewis River Hydroelectric Projects FERC Project Nos. 935, 2071, 2111, 2213. AQU 2 Appendix 1""}]"
63,9,Correlative model,PacifiCorp 2002: Velocity and Bull Trout Rearing HSI,Velocity,Flow,Water velocity,Suitability,,{Bull Trout},{Salvelinus confluentus},{Juvenile},{Rearing},"{""NULL""}",{USA},{Washington},{Lewis River Watershed},{Lewis River},Depth units converted from ft/s to m/s.,"{""NULL""}",,,,,,,,"[{""title"":""PacifiCorp 2002"",""url"":""https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/hydro/lewis-river/relicensing-documents/AQU_2_Appendix_1_1.pdf"",""text"":""PacifiCorp. 2002. Lewis River Hydroelectric Projects FERC Project Nos. 935, 2071, 2111, 2213. AQU 2 Appendix 1""}]"
64,9,Correlative model,PacifiCorp 2002: Velocity and Bull Trout Spawning HSI,Velocity,Flow,Water velocity,Suitability,,{Bull Trout},{Salvelinus confluentus},{Adult},{Spawning},"{""NULL""}",{USA},{Washington},{Lewis River Watershed},{Lewis River},Depth units converted from ft/s to m/s.,"{""NULL""}",,,,,,,,"[{""title"":""PacifiCorp 2002"",""url"":""https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/hydro/lewis-river/relicensing-documents/AQU_2_Appendix_1_1.pdf"",""text"":""PacifiCorp. 2002. Lewis River Hydroelectric Projects FERC Project Nos. 935, 2071, 2111, 2213. AQU 2 Appendix 1""}]"
65,9,Correlative model,PacifiCorp 2002: Velocity and Chinook Juvenile HSI,Velocity,Flow,Water velocity,Suitability,,{Chinook Salmon},{Oncorhynchus tshawytscha},{Juvenile},{Rearing},"{""NULL""}",{USA},{Washington},{Lewis River Watershed},{Lewis River},Depth units converted from ft/s to m/s.,"{""NULL""}",,,,,,,,"[{""title"":""PacifiCorp 2002"",""url"":""https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/hydro/lewis-river/relicensing-documents/AQU_2_Appendix_1_1.pdf"",""text"":""PacifiCorp. 2002. Lewis River Hydroelectric Projects FERC Project Nos. 935, 2071, 2111, 2213. AQU 2 Appendix 1""}]"
66,9,Correlative model,PacifiCorp 2002: Velocity and Chinook Spawning HSI,Velocity,Flow,Water velocity,Suitability,,{Chinook Salmon},{Oncorhynchus tshawytscha},{Adult},{Spawning},"{""NULL""}",{USA},{Washington},{Lewis River Watershed},{Lewis River},Depth units converted from ft/s to m/s,"{""NULL""}",,,,,,,,"[{""title"":""PacifiCorp 2002"",""url"":""https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/hydro/lewis-river/relicensing-documents/AQU_2_Appendix_1_1.pdf"",""text"":""PacifiCorp. 2002. Lewis River Hydroelectric Projects FERC Project Nos. 935, 2071, 2111, 2213. AQU 2 Appendix 1""}]"
67,6,Correlative model,Government of Alberta 2024: Phosphorus Loading and Athabasca Rainbow Trout System Capacity,Phosphorus loading,Nutrients,Potential phosphorus loading,System Capacity,,{Athabasca Rainbow Trout},{Oncorhynchus mykiss},{Adult},{All Activities},{All Seasons},{Canada},{Alberta},{Alberta foothills watersheds excluding National Parks},"{""NULL""}","Phosphorus is a major driver of primary production in aquatic ecosystems that affects other biotic and abiotic factors. Low-level inputs of phosphorus during oligotrophic stream fertilization projects in B.C. have resulted in increased fish size and abundance due to substantial increases in trophic productivity with limited impact to water quality (Koning et al. 1998). However, higher levels of nutrient inputs lead to stream eutrophication and degraded water quality, including reduced nocturnal dissolved oxygen in summer (Chung 2013; Jacobsen and Marin 2008) and overall anoxic conditions that can impair biodiversity (Meijering 1991). For example, degraded stream habitats and fish winterkill conditions in Alberta foothills were correlated with theoretical increases in phosphorus runoff due to land use at the watershed scale (Norris 2012). 
The phosphorus stressor-response curve was developed using potential phosphorous loading estimates and current FSA risk categories for the three native trout species trout (see MacPherson et al. 2019; AEP 2013). FSA risk categories vary from 0 (functionally extirpated) to 5 (very low risk). The potential phosphorous loading estimate for each watershed was obtained using ALCES‚© online. Phosphorus runoff was measured as a potential loading value for each watershed (tonnes/ha/year). 
The stressor-response curve was derived by: a) using logistic regression to develop a statistical model relating probability of being within a given FSA category to the log-transformed phosphorous loading estimate; and, b) converting this statistical model into a stressor-response curve relating phosphorus to a percent reduction native trout system capacity from a pristine reference condition.  Proportional-odds logistic regression was used since the response variable is a multinomial ordered variable (Venables and Ripley 2002).  The proportional-odds assumption of independence among adjacent categories was assessed by comparing similarity of odds ratios among successive categories (Venables and Ripley 2002). 
The stressor-response curve was derived from the proportional-odds logistic-regression models by estimating phosphorous loading estimates required for a 90% probability of falling within a given FSA category.  This is similar logic to quantile regression (Cade and Noon 2003) that recognizes numerous unaccounted factors can be driving a response variable.  FSA categories were converted to percent of reference condition using population percentages at transition points between adjacent FSA categories.  
The FSA risk category for trout was rarely 3 or better when phosphorus loading potential was ≥0.1 tonnes/ha/year. No watersheds with a FSA risk category of 5 were observed.  There was a significant phosphorus level effect (slope = -0.42, 95% profile confidence interval -0.65 to -0.21) with the probability of a watershed being within a lower FSA category increasing with phosphorus loading. From these probability distributions, the stressor-response for system capacity for the 3 native trout species at a given phosphorus loading estimate was developed (Figure 1).
A major issue in assessing the importance of potential stressors in driving a response variable is collinearity amongst different stressors (Zuur et al. 2010).  If different stressors are highly correlated, it is impossible to distinguish relative importance without further experimentation.  There was a high degree of correlation between potential phosphorus loading (tonnes/ha/year) and the relative sediment increase across the 73 watersheds (Pearson R = 0.62, 95% confidence interval 0.45 ‚ 0.74).  Thus, it was difficult using the available data to separate the importance of phosphorus or sediment independently on system capacity.  Our approach was to create two separate stressor-response curves (i.e., one for potential phosphorus loading independent of the sediment index and vice-versa) and acknowledge that the observed response could be driven by the other stressor.  As the Joe model accumulates cumulative effects multiplicatively (additive on a proportional scale), treating these two curves separately would inappropriately overemphasize the expected response. To overcome this issue, we treated sediment and phosphorus in the Joe model using a limiting factor approach.  Simply, only the strongest, negative response from either the phosphorus or sediment stressor-response curves is used to calculate final system capacity.  Anytime a watershed shows either phosphorus or sediment to be a hypothesized key driver, it must be acknowledged that the other stressor (i.e., sediment or phosphorus, respectively) could be the driver given the collinearity.",{Landscape Correlation},"This function was applied to the three species for which it was developed (Bull Trout, Athabasca Rainbow Trout, and Westslope Cutthroat Trout) within the Alberta range. While phosphorus loading has been shown to influence many aquatic systems, this function should be applied to other species with caution.",,,,,,"Total expected phosphorus export was calculated following the Event Mean Concentration method described in Donahue (2013) and is based on land cover type and annual precipitation within the natural region. Phosphorous runoff values were obtained from the Upper Bow River Basin Cumulative Effects Study (ALCES Group, 2012) and phosphorous delivery coefficients were obtained from Stelfox et al. (2008). Total estimated phosphorous export was calculated in ALCES Online‚© based on 2010 footprint within the spatial unit of interest.","[{""title"":""Government of Alberta 2024"",""url"":""https://mjbayly.com/download_pdf/185"",""text"":""Government of Alberta. 2024. Phosphorus loading stressor-response function for Athabasca Rainbow Trout, Westslope Cutthroat Trout, and Bull Trout. Environment and Protected Area Native Trout Cumulative Effects Model.""},{""title"":""AEP 2013"",""url"":""https://www.alberta.ca/bull-trout-fsi"",""text"":""Alberta Environment and Parks (AEP). 2013. Bull Trout Fish Sustainability Index. Alberta Fish and Wildlife Policy Branch, Edmonton, Alberta. https://www. alberta. ca/bull-trout-fsi.""},{""title"":""ALCES 2012"",""url"":"""",""text"":""ALCES 2012. Upper Bow River Basin Cumulative Effects Study. Report for Action for Agriculture, Alberta. 100 pp.""},{""title"":""Cade & Noon 2003"",""url"":""https://esajournals.onlinelibrary.wiley.com/doi/10.1890/1540-9295%282003%29001%5B0412%3AAGITQR%5D2.0.CO%3B2"",""text"":""Cade, B. S. and B. R. Noon. 2003. A gentle introduction to quantile regression for ecologists. Frontiers in Ecology and the Environment 1: 412‚420.""},{""title"":""Chung 2013"",""url"":"""",""text"":""Chung, C. 2013. Diel oxygen cycles in the Bow River: Relationships to Calgary's urban nutrient footprint and periphyton and macrophyte biomass. MSc Thesis, University of Calgary, AB. 92 pp.""},{""title"":""Donahue 2013"",""url"":""https://www.researchgate.net/publication/319722017_Determining_Appropriate_Nutrient_and_Sediment_Loading_Coefficients_for_Modeling_Effects_of_Changes_in_Landuse_and_Landcover_in_Alberta_Watersheds"",""text"":""Donahue, W. F. 2013. Determining Appropriate Nutrient and Sediment Loading Coefficients for Modelling Effects of Changes in Landuse and Landcover in Alberta Watersheds. Water Matters Society of Alberta, Canmore, AB. 52pp.""},{""title"":""Jacobsen & Marin 2008"",""url"":""https://link.springer.com/article/10.1007/s10452-007-9127-x"",""text"":""Jacobsen, D. , and R. Marin. 2008. Bolivian Altiplano streams with low richness of macroinvertebrates and large diel fluctuations in temperature and oxygen. Aquatic Ecology 42:643-656.""},{""title"":""Koning et al. 1998"",""url"":""https://ostrnrcan-dostrncan.canada.ca/entities/publication/5324d0b8-ccc5-4414-9a19-a1b1009e8805"",""text"":""Koning, C. , K. Ashley, P. Slaney, and A. Paul. 1998. Stream fertilization as a fisheries mitigation technique for perturbated oligotrophic trout streams in British Columbia. Pages 109-120 in M. K. Brewin and D. M. A. Monita, tech. Cords. Forest-fish conference: land management practices affecting aquatic ecosystems. Proc. Forest-Fish Conf. , May 1-4, 1996, Calgary, AB. Nat. Resource Canada, Edmonton, AB, Inf. Rep. NOR-X-356.""}]"
