article_id,row_index,curve_id,stressor_label,stressor_x,units_x,response_label,response_y,units_y,stressor_value,lower_limit,upper_limit,sd
5,2,c1,Fine Sediment (% smaller than 2-6.35mm),6.69,% Sediment smaller than 2-6.35mm,Emergence (%),89.11,% emergence,,0,100,6.24
5,3,c1,Fine Sediment (% smaller than 2-6.35mm),10.8,% Sediment smaller than 2-6.35mm,Emergence (%),87.56,% emergence,,0,100,9.16
5,4,c1,Fine Sediment (% smaller than 2-6.35mm),13.89,% Sediment smaller than 2-6.35mm,Emergence (%),84.99,% emergence,,0,100,12.42
5,5,c1,Fine Sediment (% smaller than 2-6.35mm),16.46,% Sediment smaller than 2-6.35mm,Emergence (%),80.53,% emergence,,0,100,15.85
5,6,c1,Fine Sediment (% smaller than 2-6.35mm),18.69,% Sediment smaller than 2-6.35mm,Emergence (%),73.84,% emergence,,0,100,15.68
5,7,c1,Fine Sediment (% smaller than 2-6.35mm),21.77,% Sediment smaller than 2-6.35mm,Emergence (%),65.95,% emergence,,0,100,22.88
5,8,c1,Fine Sediment (% smaller than 2-6.35mm),24.17,% Sediment smaller than 2-6.35mm,Emergence (%),58.58,% emergence,,0,100,23.05
5,9,c1,Fine Sediment (% smaller than 2-6.35mm),27.09,% Sediment smaller than 2-6.35mm,Emergence (%),50.34,% emergence,,0,100,26.14
5,10,c1,Fine Sediment (% smaller than 2-6.35mm),29.49,% Sediment smaller than 2-6.35mm,Emergence (%),40.91,% emergence,,0,100,24.77
5,11,c1,Fine Sediment (% smaller than 2-6.35mm),32.06,% Sediment smaller than 2-6.35mm,Emergence (%),32.5,% emergence,,0,100,20.14
5,12,c1,Fine Sediment (% smaller than 2-6.35mm),33.77,% Sediment smaller than 2-6.35mm,Emergence (%),25.15,% emergence,,0,100,12.78
5,13,c1,Fine Sediment (% smaller than 2-6.35mm),37.2,% Sediment smaller than 2-6.35mm,Emergence (%),18.12,% emergence,,0,100,9.7
5,14,c1,Fine Sediment (% smaller than 2-6.35mm),40.97,% Sediment smaller than 2-6.35mm,Emergence (%),12.11,% emergence,,0,100,10.38
5,15,c1,Fine Sediment (% smaller than 2-6.35mm),45.77,% Sediment smaller than 2-6.35mm,Emergence (%),7.14,% emergence,,0,100,6.09
5,16,c1,Fine Sediment (% smaller than 2-6.35mm),51.43,% Sediment smaller than 2-6.35mm,Emergence (%),4.91,% emergence,,0,100,4.38
5,17,c1,Fine Sediment (% smaller than 2-6.35mm),56.23,% Sediment smaller than 2-6.35mm,Emergence (%),3.54,% emergence,,0,100,3.18
5,18,c1,Fine Sediment (% smaller than 2-6.35mm),59.83,% Sediment smaller than 2-6.35mm,Emergence (%),3.71,% emergence,,0,100,3.35
6,1,c1,Substrate in Boulders (%),0,% Boulder Cover,Survivorship (%),0.95,Scaler,,0.95,0.95,
6,2,c1,Substrate in Boulders (%),0.25,% Boulder Cover,Survivorship (%),0.95,Scaler,,0.95,0.95,
6,3,c1,Substrate in Boulders (%),0.75,% Boulder Cover,Survivorship (%),7.03,Scaler,,7.03,7.03,
6,4,c1,Substrate in Boulders (%),1,% Boulder Cover,Survivorship (%),7.03,Scaler,,7.03,7.03,
7,1,c1,Temperature (June 1-21 ADM),8,°C,Survivorship (%),0.9974,Productivity multiplier,,0.9974,0.9974,
7,2,c1,Temperature (June 1-21 ADM),10,°C,Survivorship (%),0.9944,Productivity multiplier,,0.9944,0.9944,
7,3,c1,Temperature (June 1-21 ADM),12,°C,Survivorship (%),0.988,Productivity multiplier,,0.988,0.988,
7,4,c1,Temperature (June 1-21 ADM),14,°C,Survivorship (%),0.9743,Productivity multiplier,,0.9743,0.9743,
7,5,c1,Temperature (June 1-21 ADM),16,°C,Survivorship (%),0.9459,Productivity multiplier,,0.9459,0.9459,
7,6,c1,Temperature (June 1-21 ADM),18,°C,Survivorship (%),0.8896,Productivity multiplier,,0.8896,0.8896,
7,7,c1,Temperature (June 1-21 ADM),20,°C,Survivorship (%),0.788,Productivity multiplier,,0.788,0.788,
7,8,c1,Temperature (June 1-21 ADM),22,°C,Survivorship (%),0.6316,Productivity multiplier,,0.6316,0.6316,
7,9,c1,Temperature (June 1-21 ADM),24,°C,Survivorship (%),0.4415,Productivity multiplier,,0.4415,0.4415,
7,10,c1,Temperature (June 1-21 ADM),26,°C,Survivorship (%),0.2672,Productivity multiplier,,0.2672,0.2672,
7,11,c1,Temperature (June 1-21 ADM),28,°C,Survivorship (%),0.1439,Productivity multiplier,,0.1439,0.1439,
7,12,c1,Temperature (June 1-21 ADM),30,°C,Survivorship (%),0.072,Productivity multiplier,,0.072,0.072,
7,13,c1,Temperature (June 1-21 ADM),32,°C,Survivorship (%),0.0345,Productivity multiplier,,0.0345,0.0345,
8,1,c1,Temperature,10.1,°C,Mean System Capacity (%),100,% Survivorship,,100,100,0
8,2,c1,Temperature,12.91,°C,Mean System Capacity (%),100,% Survivorship,,100,100,0
8,3,c1,Temperature,14.27,°C,Mean System Capacity (%),98.45,% Survivorship,,85,98,2
8,4,c1,Temperature,15.22,°C,Mean System Capacity (%),95.34,% Survivorship,,85,95,3
8,5,c1,Temperature,16.09,°C,Mean System Capacity (%),91.71,% Survivorship,,75,95,6
8,6,c1,Temperature,17.11,°C,Mean System Capacity (%),86.53,% Survivorship,,60,95,10
8,7,c1,Temperature,17.79,°C,Mean System Capacity (%),80.83,% Survivorship,,33,93,15
8,8,c1,Temperature,18.11,°C,Mean System Capacity (%),76.68,% Survivorship,,33,93,20
8,9,c1,Temperature,18.52,°C,Mean System Capacity (%),70.98,% Survivorship,,33,93,20
8,10,c1,Temperature,19.42,°C,Mean System Capacity (%),58.03,% Survivorship,,20,85,20
8,11,c1,Temperature,19.76,°C,Mean System Capacity (%),53.37,% Survivorship,,20,80,20
8,12,c1,Temperature,19.98,°C,Mean System Capacity (%),51.81,% Survivorship,,15,80,20
9,1,c1,Calcite Concentration,0,CC,Mean System Capacity (%),100,% Capacity,,100,100,
9,2,c1,Calcite Concentration,0.05,CC,Mean System Capacity (%),86.52,% Capacity,,86.52,86.52,
9,3,c1,Calcite Concentration,0.07,CC,Mean System Capacity (%),80,% Capacity,,80,80,
9,4,c1,Calcite Concentration,0.1,CC,Mean System Capacity (%),71.3,% Capacity,,71.3,71.3,
9,5,c1,Calcite Concentration,0.13,CC,Mean System Capacity (%),63.04,% Capacity,,63.04,63.04,
9,6,c1,Calcite Concentration,0.18,CC,Mean System Capacity (%),54.35,% Capacity,,54.35,54.35,
9,7,c1,Calcite Concentration,0.22,CC,Mean System Capacity (%),46.96,% Capacity,,46.96,46.96,
9,8,c1,Calcite Concentration,0.27,CC,Mean System Capacity (%),39.57,% Capacity,,39.57,39.57,
9,9,c1,Calcite Concentration,0.35,CC,Mean System Capacity (%),30,% Capacity,,30,30,
9,10,c1,Calcite Concentration,0.43,CC,Mean System Capacity (%),22.17,% Capacity,,22.17,22.17,
9,11,c1,Calcite Concentration,0.53,CC,Mean System Capacity (%),15.65,% Capacity,,15.65,15.65,
9,12,c1,Calcite Concentration,0.63,CC,Mean System Capacity (%),11.3,% Capacity,,11.3,11.3,
9,13,c1,Calcite Concentration,0.72,CC,Mean System Capacity (%),8.26,% Capacity,,8.26,8.26,
9,14,c1,Calcite Concentration,0.81,CC,Mean System Capacity (%),5.65,% Capacity,,5.65,5.65,
9,15,c1,Calcite Concentration,0.9,CC,Mean System Capacity (%),4.35,% Capacity,,4.35,4.35,
9,16,c1,Calcite Concentration,1,CC,Mean System Capacity (%),2.61,% Capacity,,2.61,2.61,
9,17,c1,Calcite Concentration,1.1,CC,Mean System Capacity (%),1.74,% Capacity,,1.74,1.74,
9,18,c1,Calcite Concentration,1.22,CC,Mean System Capacity (%),0.87,% Capacity,,0.87,0.87,
9,19,c1,Calcite Concentration,1.32,CC,Mean System Capacity (%),0.43,% Capacity,,0.43,0.43,
9,20,c1,Calcite Concentration,1.43,CC,Mean System Capacity (%),0.43,% Capacity,,0.43,0.43,
9,21,c1,Calcite Concentration,1.53,CC,Mean System Capacity (%),0,% Capacity,,0,0,
9,22,c1,Calcite Concentration,1.64,CC,Mean System Capacity (%),0,% Capacity,,0,0,
9,23,c1,Calcite Concentration,1.75,CC,Mean System Capacity (%),0,% Capacity,,0,0,
9,24,c1,Calcite Concentration,2,CC,Mean System Capacity (%),0,% Capacity,,0,0,
10,1,c1,Temperature,0.08,°C,Survival (%),4.5,% Survival,,0,50,20
10,2,c1,Temperature,0.39,°C,Survival (%),10.6,% Survival,,0,50,20
10,3,c1,Temperature,0.86,°C,Survival (%),19.5,% Survival,,10,50,20
10,4,c1,Temperature,1.49,°C,Survival (%),30.6,% Survival,,20,75,20
10,5,c1,Temperature,1.65,°C,Survival (%),33.3,% Survival,,25,75,20
10,6,c1,Temperature,2.51,°C,Survival (%),46.7,% Survival,,40,75,20
10,7,c1,Temperature,2.66,°C,Survival (%),48.9,% Survival,,45,100,20
10,8,c1,Temperature,3.53,°C,Survival (%),60.6,% Survival,,50,100,20
10,9,c1,Temperature,4,°C,Survival (%),66.2,% Survival,,50,100,20
10,10,c1,Temperature,4.47,°C,Survival (%),71.4,% Survival,,50,100,20
10,11,c1,Temperature,5.33,°C,Survival (%),79.5,% Survival,,55,100,20
10,12,c1,Temperature,6.11,°C,Survival (%),85.6,% Survival,,60,100,20
10,13,c1,Temperature,7.13,°C,Survival (%),91.4,% Survival,,60,100,20
10,14,c1,Temperature,7.99,°C,Survival (%),94.6,% Survival,,60,100,20
10,15,c1,Temperature,8.86,°C,Survival (%),96.1,% Survival,,55,100,20
10,16,c1,Temperature,9.8,°C,Survival (%),96,% Survival,,50,100,20
10,17,c1,Temperature,10.89,°C,Survival (%),93.3,% Survival,,50,100,20
10,18,c1,Temperature,11.76,°C,Survival (%),89.4,% Survival,,40,100,20
10,19,c1,Temperature,12.77,°C,Survival (%),82.7,% Survival,,20,100,20
10,20,c1,Temperature,14.03,°C,Survival (%),71.3,% Survival,,10,100,20
10,21,c1,Temperature,14.18,°C,Survival (%),69.7,% Survival,,0,100,20
10,22,c1,Temperature,14.89,°C,Survival (%),61.5,% Survival,,0,100,20
10,23,c1,Temperature,15.67,°C,Survival (%),51.2,% Survival,,0,100,20
10,24,c1,Temperature,16.14,°C,Survival (%),44.4,% Survival,,0,100,20
10,25,c1,Temperature,17.01,°C,Survival (%),30.4,% Survival,,0,85,20
10,26,c1,Temperature,17.63,°C,Survival (%),19.5,% Survival,,0,85,20
10,27,c1,Temperature,17.79,°C,Survival (%),16.5,% Survival,,0,85,20
10,28,c1,Temperature,18.1,°C,Survival (%),10.6,% Survival,,0,85,20
10,29,c1,Temperature,18.42,°C,Survival (%),4.3,% Survival,,0,85,20
10,30,c1,Temperature,18.57,°C,Survival (%),1.3,% Survival,,0,85,20
11,1,c1,Non-Native Trout (% Carrying Capacity),0,% Non-Native Capacity,Mean System Capacity (%),80,% Capacity,,0,100,
11,2,c1,Non-Native Trout (% Carrying Capacity),20,% Non-Native Capacity,Mean System Capacity (%),60,% Capacity,,0,100,
11,3,c1,Non-Native Trout (% Carrying Capacity),40,% Non-Native Capacity,Mean System Capacity (%),40,% Capacity,,0,100,
11,4,c1,Non-Native Trout (% Carrying Capacity),60,% Non-Native Capacity,Mean System Capacity (%),20,% Capacity,,0,100,
11,5,c1,Non-Native Trout (% Carrying Capacity),80,% Non-Native Capacity,Mean System Capacity (%),0,% Capacity,,0,100,
11,6,c1,Non-Native Trout (% Carrying Capacity),100,% Non-Native Capacity,Mean System Capacity (%),0,% Capacity,,0,100,
12,1,c1,Pool Habitat (% covered by cobbles and boulders),0,% sturcture,Mean System Capacity (%),0.2,% Survivorship,,0,1,
12,2,c1,Pool Habitat (% covered by cobbles and boulders),3,% sturcture,Mean System Capacity (%),0.36,% Survivorship,,0,1,
12,3,c1,Pool Habitat (% covered by cobbles and boulders),6,% sturcture,Mean System Capacity (%),0.52,% Survivorship,,0,1,
12,4,c1,Pool Habitat (% covered by cobbles and boulders),9,% sturcture,Mean System Capacity (%),0.68,% Survivorship,,0,1,
12,5,c1,Pool Habitat (% covered by cobbles and boulders),12,% sturcture,Mean System Capacity (%),0.84,% Survivorship,,0,1,
12,6,c1,Pool Habitat (% covered by cobbles and boulders),15,% sturcture,Mean System Capacity (%),1,% Survivorship,,0,1,
12,7,c1,Pool Habitat (% covered by cobbles and boulders),18,% sturcture,Mean System Capacity (%),1,% Survivorship,,0,1,
13,1,c1,Direct Mortality (%),0,% Mortality,Mean System Capacity (%),100,% Capacity,,0,100,
13,2,c1,Direct Mortality (%),0.2,% Mortality,Mean System Capacity (%),100,% Capacity,,0,100,
13,3,c1,Direct Mortality (%),0.28,% Mortality,Mean System Capacity (%),50,% Capacity,,0,100,
13,4,c1,Direct Mortality (%),0.32,% Mortality,Mean System Capacity (%),10,% Capacity,,0,100,
14,1,c1,Direct Mortality (%),0,% Mortality,Mean System Capacity (%),100,% Capacity,,0,100,
14,2,c1,Direct Mortality (%),0.35,% Mortality,Mean System Capacity (%),100,% Capacity,,0,100,
14,3,c1,Direct Mortality (%),0.3825,% Mortality,Mean System Capacity (%),100,% Capacity,,0,100,
14,4,c1,Direct Mortality (%),0.415,% Mortality,Mean System Capacity (%),60,% Capacity,,0,100,
14,5,c1,Direct Mortality (%),0.4475,% Mortality,Mean System Capacity (%),40,% Capacity,,0,100,
14,6,c1,Direct Mortality (%),0.48,% Mortality,Mean System Capacity (%),20,% Capacity,,0,100,
14,7,c1,Direct Mortality (%),0.5125,% Mortality,Mean System Capacity (%),15,% Capacity,,0,100,
14,8,c1,Direct Mortality (%),0.545,% Mortality,Mean System Capacity (%),10,% Capacity,,0,100,
14,9,c1,Direct Mortality (%),0.5775,% Mortality,Mean System Capacity (%),10,% Capacity,,0,100,
14,10,c1,Direct Mortality (%),0.61,% Mortality,Mean System Capacity (%),10,% Capacity,,0,100,
15,1,c1,Dissolved Oxygen (mg/L),3.16,mg/L,Survival (%),3.06,% Survival,,0,100,3.67
15,2,c1,Dissolved Oxygen (mg/L),3.7,mg/L,Survival (%),4.29,% Survival,,0,100,3.27
15,3,c1,Dissolved Oxygen (mg/L),4.19,mg/L,Survival (%),5.1,% Survival,,0,100,5.71
15,4,c1,Dissolved Oxygen (mg/L),4.68,mg/L,Survival (%),5.51,% Survival,,0,100,5.31
15,5,c1,Dissolved Oxygen (mg/L),5.32,mg/L,Survival (%),6.33,% Survival,,0,100,8.16
15,6,c1,Dissolved Oxygen (mg/L),5.8,mg/L,Survival (%),7.55,% Survival,,0,100,6.94
15,7,c1,Dissolved Oxygen (mg/L),6.52,mg/L,Survival (%),9.18,% Survival,,0,100,6.94
15,8,c1,Dissolved Oxygen (mg/L),7.19,mg/L,Survival (%),10.41,% Survival,,0,100,20.41
15,9,c1,Dissolved Oxygen (mg/L),7.48,mg/L,Survival (%),12.86,% Survival,,0,100,17.96
15,10,c1,Dissolved Oxygen (mg/L),7.81,mg/L,Survival (%),17.35,% Survival,,0,100,26.53
15,11,c1,Dissolved Oxygen (mg/L),8.12,mg/L,Survival (%),23.47,% Survival,,0,100,20.41
15,12,c1,Dissolved Oxygen (mg/L),8.51,mg/L,Survival (%),33.67,% Survival,,0,100,31.43
15,13,c1,Dissolved Oxygen (mg/L),8.68,mg/L,Survival (%),44.29,% Survival,,0,100,44.08
15,14,c1,Dissolved Oxygen (mg/L),8.79,mg/L,Survival (%),53.27,% Survival,,0,100,35.1
15,15,c1,Dissolved Oxygen (mg/L),8.92,mg/L,Survival (%),64.29,% Survival,,0,100,34.69
15,16,c1,Dissolved Oxygen (mg/L),9.07,mg/L,Survival (%),74.49,% Survival,,0,100,25.31
15,17,c1,Dissolved Oxygen (mg/L),9.2,mg/L,Survival (%),83.47,% Survival,,0,100,16.73
15,18,c1,Dissolved Oxygen (mg/L),9.28,mg/L,Survival (%),88.78,% Survival,,0,100,11.43
15,19,c1,Dissolved Oxygen (mg/L),9.28,mg/L,Survival (%),88.78,% Survival,,0,100,11.43
16,1,c1,Dissolved Oxygen (mg/L),3,mg/L,Mean length of sac fry (mm),16.63,mm,,0,100,
16,2,c1,Dissolved Oxygen (mg/L),4,mg/L,Mean length of sac fry (mm),17.64,mm,,0,100,
16,3,c1,Dissolved Oxygen (mg/L),5,mg/L,Mean length of sac fry (mm),18.15,mm,,0,100,
16,4,c1,Dissolved Oxygen (mg/L),6,mg/L,Mean length of sac fry (mm),18.55,mm,,0,100,
16,5,c1,Dissolved Oxygen (mg/L),7,mg/L,Mean length of sac fry (mm),18.87,mm,,0,100,
16,6,c1,Dissolved Oxygen (mg/L),8,mg/L,Mean length of sac fry (mm),19.11,mm,,0,100,
16,7,c1,Dissolved Oxygen (mg/L),9,mg/L,Mean length of sac fry (mm),19.3,mm,,0,100,
16,8,c1,Dissolved Oxygen (mg/L),10,mg/L,Mean length of sac fry (mm),19.41,mm,,0,100,
16,9,c1,Dissolved Oxygen (mg/L),11,mg/L,Mean length of sac fry (mm),19.62,mm,,0,100,
17,1,c1,Dissolved Oxygen (mg/L),2.65,mg/L,Survival (%),14.08,% Survival,,0,100,7.8
17,2,c1,Dissolved Oxygen (mg/L),3,mg/L,Survival (%),16.36,% Survival,,0,100,5.52
17,3,c1,Dissolved Oxygen (mg/L),3.62,mg/L,Survival (%),19.78,% Survival,,0,100,12.36
17,4,c1,Dissolved Oxygen (mg/L),4.22,mg/L,Survival (%),23.02,% Survival,,0,100,9.13
17,5,c1,Dissolved Oxygen (mg/L),4.79,mg/L,Survival (%),26.06,% Survival,,0,100,13.32
17,6,c1,Dissolved Oxygen (mg/L),5.51,mg/L,Survival (%),30.05,% Survival,,0,100,9.32
17,7,c1,Dissolved Oxygen (mg/L),6,mg/L,Survival (%),32.91,% Survival,,0,100,13.89
17,8,c1,Dissolved Oxygen (mg/L),6.61,mg/L,Survival (%),36.14,% Survival,,0,100,10.65
17,9,c1,Dissolved Oxygen (mg/L),7.31,mg/L,Survival (%),40.14,% Survival,,0,100,14.84
17,10,c1,Dissolved Oxygen (mg/L),8.34,mg/L,Survival (%),45.84,% Survival,,0,100,13.51
17,11,c1,Dissolved Oxygen (mg/L),9.04,mg/L,Survival (%),49.65,% Survival,,0,100,11.98
17,12,c1,Dissolved Oxygen (mg/L),9.18,mg/L,Survival (%),50.41,% Survival,,0,100,11.03
18,1,c1,Drift production,0,% of reach in riffles,Density,0,Scaler,,0,1,
18,2,c1,Drift production,0.5,% of reach in riffles,Density,1,Scaler,,0,1,
18,3,c1,Drift production,1,% of reach in riffles,Density,1,Scaler,,0,1,
19,1,c1,Fine sediment,0,% embeddedness,Density,2.47,fish/m2,,2.47,2.47,
19,2,c1,Fine sediment,4.3,% embeddedness,Density,2.3,fish/m2,,2.3,2.3,
19,3,c1,Fine sediment,9.68,% embeddedness,Density,2.07,fish/m2,,2.07,2.07,
19,4,c1,Fine sediment,15.05,% embeddedness,Density,1.86,fish/m2,,1.86,1.86,
19,5,c1,Fine sediment,19,% embeddedness,Density,1.7,fish/m2,,1.7,1.7,
19,6,c1,Fine sediment,22.94,% embeddedness,Density,1.57,fish/m2,,1.57,1.57,
19,7,c1,Fine sediment,28.32,% embeddedness,Density,1.41,fish/m2,,1.41,1.41,
19,8,c1,Fine sediment,32.97,% embeddedness,Density,1.24,fish/m2,,1.24,1.24,
19,9,c1,Fine sediment,39.43,% embeddedness,Density,1.06,fish/m2,,1.06,1.06,
19,10,c1,Fine sediment,45.88,% embeddedness,Density,0.87,fish/m2,,0.87,0.87,
19,11,c1,Fine sediment,53.05,% embeddedness,Density,0.7,fish/m2,,0.7,0.7,
19,12,c1,Fine sediment,61.29,% embeddedness,Density,0.52,fish/m2,,0.52,0.52,
19,13,c1,Fine sediment,74.19,% embeddedness,Density,0.3,fish/m2,,0.3,0.3,
19,14,c1,Fine sediment,85.3,% embeddedness,Density,0.18,fish/m2,,0.18,0.18,
19,15,c1,Fine sediment,94.98,% embeddedness,Density,0.1,fish/m2,,0.1,0.1,
19,16,c1,Fine sediment,100,% embeddedness,Density,0.08,fish/m2,,0.08,0.08,
20,1,c1,Fine sediment,0,% embeddedness,Density,2.75,fish/m2,,2.75,2.75,
20,2,c1,Fine sediment,2.96,% embeddedness,Density,2.55,fish/m2,,2.55,2.55,
20,3,c1,Fine sediment,5.93,% embeddedness,Density,2.36,fish/m2,,2.36,2.36,
20,4,c1,Fine sediment,9.26,% embeddedness,Density,2.15,fish/m2,,2.15,2.15,
20,5,c1,Fine sediment,12.96,% embeddedness,Density,1.97,fish/m2,,1.97,1.97,
20,6,c1,Fine sediment,17.04,% embeddedness,Density,1.76,fish/m2,,1.76,1.76,
20,7,c1,Fine sediment,23.33,% embeddedness,Density,1.51,fish/m2,,1.51,1.51,
20,8,c1,Fine sediment,29.26,% embeddedness,Density,1.27,fish/m2,,1.27,1.27,
20,9,c1,Fine sediment,37.78,% embeddedness,Density,1.02,fish/m2,,1.02,1.02,
20,10,c1,Fine sediment,45.93,% embeddedness,Density,0.81,fish/m2,,0.81,0.81,
20,11,c1,Fine sediment,53.7,% embeddedness,Density,0.66,fish/m2,,0.66,0.66,
20,12,c1,Fine sediment,61.48,% embeddedness,Density,0.53,fish/m2,,0.53,0.53,
20,13,c1,Fine sediment,70.74,% embeddedness,Density,0.4,fish/m2,,0.4,0.4,
20,14,c1,Fine sediment,80.74,% embeddedness,Density,0.31,fish/m2,,0.31,0.31,
20,15,c1,Fine sediment,91.48,% embeddedness,Density,0.22,fish/m2,,0.22,0.22,
20,16,c1,Fine sediment,97.41,% embeddedness,Density,0.2,fish/m2,,0.2,0.2,
20,17,c1,Fine sediment,100,% embeddedness,Density,0.2,fish/m2,,0.2,0.2,
21,1,c1,Fine sediment,0,% embeddedness,Density,9.98,fish/m2,,9.98,9.98,
21,2,c1,Fine sediment,2.87,% embeddedness,Density,10.02,fish/m2,,10.02,10.02,
21,3,c1,Fine sediment,8.6,% embeddedness,Density,9.95,fish/m2,,9.95,9.95,
21,4,c1,Fine sediment,15.77,% embeddedness,Density,9.88,fish/m2,,9.88,9.88,
21,5,c1,Fine sediment,23.66,% embeddedness,Density,9.66,fish/m2,,9.66,9.66,
21,6,c1,Fine sediment,32.97,% embeddedness,Density,9.33,fish/m2,,9.33,9.33,
21,7,c1,Fine sediment,41.58,% embeddedness,Density,8.94,fish/m2,,8.94,8.94,
21,8,c1,Fine sediment,47.31,% embeddedness,Density,8.5,fish/m2,,8.5,8.5,
21,9,c1,Fine sediment,54.12,% embeddedness,Density,8.03,fish/m2,,8.03,8.03,
21,10,c1,Fine sediment,60.57,% embeddedness,Density,7.53,fish/m2,,7.53,7.53,
21,11,c1,Fine sediment,67.74,% embeddedness,Density,6.91,fish/m2,,6.91,6.91,
21,12,c1,Fine sediment,71.68,% embeddedness,Density,6.48,fish/m2,,6.48,6.48,
21,13,c1,Fine sediment,76.7,% embeddedness,Density,5.94,fish/m2,,5.94,5.94,
21,14,c1,Fine sediment,83.51,% embeddedness,Density,5.21,fish/m2,,5.21,5.21,
21,15,c1,Fine sediment,87.81,% embeddedness,Density,4.71,fish/m2,,4.71,4.71,
21,16,c1,Fine sediment,93.55,% embeddedness,Density,3.95,fish/m2,,3.95,3.95,
21,17,c1,Fine sediment,98.21,% embeddedness,Density,3.33,fish/m2,,3.33,3.33,
21,18,c1,Fine sediment,100,% embeddedness,Density,3.15,fish/m2,,3.15,3.15,
22,1,c1,Fine sediment,0,% embeddedness,Density,7.38,fish/m2,,7.38,7.38,
